id;abreviation;name;extent
131;MAR;Morocco;BOX(-17.1046443349999 20.7669131530001,-1.03199947099995 35.926519149)
132;MCO;Monaco;BOX(7.36575020700008 43.7179690770001,7.4374540320631 43.763505554)
133;MDA;Moldova;BOX(26.617889038 45.461773987,30.1315763750001 48.4860338340001)
134;MDG;Madagascar;BOX(43.2229110040001 -25.5985653629998,50.5039168630001 -11.9436174459998)
135;MDV;Maldives;BOX(72.684825066 -0.688571872999901,73.7531844410002 7.10724518400015)
136;MEX;Mexico;BOX(-118.368804229 14.5462829243643,-86.7005916009999 32.7128364050001)
137;MHL;Marshall Islands;BOX(165.282237175 4.57379791900016,172.029795769 14.6105003930001)
138;MKD;Macedonia, Former Yugoslav Republic of;BOX(20.4441573490001 40.8493940230001,23.0095821530001 42.3703347790001)
139;MLI;Mali;BOX(-12.2641304119999 10.1400540170001,4.23563765500012 24.9950645960001)
140;MLT;Malta;BOX(14.1836043630001 35.801214911,14.5671492850001 36.0755882830001)
141;MMR;Myanmar;BOX(92.1749727790001 9.79071686400013,101.173855021 28.5384658810001)
142;MNE;Montenegro;BOX(18.4335307210001 41.852362372,20.3551705320001 43.5478856410001)
143;MNG;Mongolia;BOX(87.7357088630001 41.586144918,119.907026815 52.1295840460001)
144;MNP;Northern Mariana Islands;BOX(144.902110222 14.1106631530001,145.868907097 20.5554059920001)
145;MOZ;Mozambique;BOX(30.2138452550002 -26.8602715039999,40.8479923840001 -10.4690080709999)
146;MRT;Mauritania;BOX(-17.0811748859999 14.7343989060002,-4.8216131179999 27.2854157510001)
147;MSR;Montserrat;BOX(-62.2301326159999 16.6753604190001,-62.1405330069999 16.8193220070001)
242;MTQ;Martinique;BOX(-61.228830533 14.4081078150002,-60.8104141919999 14.8768985050001)
148;MUS;Mauritius;BOX(56.5241805350002 -20.5173479149999,63.493907097 -10.3239071589999)
149;MWI;Malawi;BOX(32.6633081470002 -17.1353353879999,35.9042989500001 -9.38123504699981)
150;MYS;Malaysia;BOX(99.6452280600001 0.851370341000077,119.278086785 7.35578034100014)
243;MYT;Mayotte;BOX(45.0424910820001 -12.9891903629999,45.2249455090001 -12.6472307269999)
151;NAM;Namibia;BOX(11.7176212900001 -28.9593681839999,25.2597807210001 -16.9510572309999)
152;NCL;New Caledonia;BOX(163.615733269 -22.6706682269998,171.343765287 -19.623711847)
153;NER;Niger;BOX(0.152941121000111 11.69577301,15.9703218990001 23.5173511760001)
154;NFK;Norfolk Island;BOX(167.912119988 -29.0800106749999,167.996348504 -28.9974911439999)
155;NGA;Nigeria;BOX(2.67108199000012 4.27216217700007,14.6699361570001 13.8802908320001)
156;NIC;Nicaragua;BOX(-87.6858210929999 10.7134815470002,-82.7256973949999 15.0309699500002)
157;NIU;Niue;BOX(-169.95042884 -19.1427548159999,-169.782907681 -18.9640438779999)
158;NLD;Netherlands;BOX(-68.4173884759999 12.0220401060001,7.19850590000004 53.5580915390001)
245;NOR;Norway;BOX(-9.11742102799991 -54.4624976539999,31.0769962900002 71.1803653020001)
159;NPL;Nepal;BOX(80.03028772 26.3437678020001,88.1690674240001 30.4169041950001)
160;NRU;Nauru;BOX(166.906993035 -0.551853122999901,166.958262566 -0.490411065999922)
161;NZL;New Zealand;BOX(-177.9579972 -52.600313271,178.843923373 -8.54322682099986)
162;OMN;Oman;BOX(51.9786149500002 16.6424060302812,59.8445744150002 26.385972398)
163;PAK;Pakistan;BOX(60.8443787030001 23.6945254580001,77.0489709880002 37.0544835410001)
164;PAN;Panama;BOX(-83.053246217 7.20571523600016,-77.1632698159999 9.62929248000016)
165;PCN;Pitcairn Islands;BOX(-130.753081835 -25.0770809879998,-124.778065559 -23.9244117169999)
166;PER;Peru;BOX(-81.3375575289999 -18.3377462069379,-68.6842524829999 -0.0290927119998656)
167;PHL;Philippines;BOX(116.954925977 4.65570709800011,126.617686394 21.122381903)
168;PLW;Palau;BOX(131.131114129 2.94904205900015,134.727342990799 8.09661782863144)
169;PNG;Papua New Guinea;BOX(140.84921106 -11.6363257789998,155.96753991 -1.34636809699988)
170;POL;Poland;BOX(14.123922973 48.9940131640001,24.1431563720001 54.8383242860001)
171;PRI;Puerto Rico;BOX(-67.937814908 17.9229190120002,-65.2446182929999 18.522772528)
172;PRK;Dem. Rep. Korea;BOX(124.211315989 37.6756045590001,130.699961785 43.010269878)
173;PRT;Portugal;BOX(-31.2849014959999 30.0292422550001,-6.20594722499993 42.15362966)
174;PRY;Paraguay;BOX(-62.650357219 -27.5868421429999,-54.2452888589999 -19.2867286169999)
175;PSE;Palestine;BOX(34.2002694411415 31.2114489580001,35.5725362550001 32.542640076)
176;PYF;French Polynesia;BOX(-154.536976692 -27.6412085919999,-134.942982551 -7.95012786299982)
177;QAT;Qatar;BOX(50.750987175 24.5598715210001,51.6165470710001 26.16010163)
244;REU;Reunion;BOX(55.2254337900002 -21.3707821589999,55.8545028000001 -20.861423435)
178;ROU;Romania;BOX(20.2428259690001 43.6500499480001,29.6995548840001 48.2748322560001)
179;RUS;Russian Federation;BOX(-180 41.1926805620002,180 81.8587100280001)
180;RWA;Rwanda;BOX(28.8572355550001 -2.82685475699989,30.8878092850001 -1.05869394899987)
182;SAU;Saudi Arabia;BOX(34.5727645190002 16.3709446840655,55.6375647380002 32.1213479620001)
183;SDN;Sudan;BOX(21.8094486900001 8.6816417440001,38.6038517590002 22.2269648230001)
185;SEN;Senegal;BOX(-17.5360408189999 12.3056065880001,-11.3777762449999 16.6913853970001)
186;SGP;Singapore;BOX(103.640391472 1.26430898600009,104.003428582 1.44863515800004)
187;SGS;South Georgia and South Sandwich Islands;BOX(-38.0870255199999 -59.4727515599998,-26.2393285799999 -53.9724260399999)
188;SHN;Saint Helena;BOX(-14.4177139959999 -40.3978817689998,-5.65038001199986 -7.87786223799984)
246;SJM;Svalbard and Jan Mayen;BOX(10.4843856130001 74.347357489,33.6403914720001 80.7700869810001)
189;SLB;Solomon Islands;BOX(155.507985873 -12.2906226539999,168.825856967 -6.59986744599981)
190;SLE;Sierra Leone;BOX(-13.3010961579999 6.91941966400012,-10.2822358799999 9.99600596100012)
191;SLV;El Salvador;BOX(-90.1147790119999 13.1586367860001,-87.6931935119999 14.4453726200001)
192;SMR;San Marino;BOX(12.3856287450001 43.892055515,12.4923922540001 43.9825667860001)
194;SOM;Somalia;BOX(40.9653853760002 -1.69628316497764,51.4170378110001 11.9891186460002)
195;SPM;Saint Pierre and Miquelon;BOX(-56.396595832 46.7527529970001,-56.1447647779999 47.1412621110001)
196;SRB;Serbia;BOX(18.8449784750001 42.2349425250001,22.9845707600001 46.1738752240001)
184;SSD;South Sudan;BOX(24.1215556230001 3.49020151800015,35.9208354090002 12.2161546840002)
197;STP;Sao Tome and Principe;BOX(6.46168053500011 0.0241153020000695,7.46273847700007 1.69977448100016)
198;SUR;Suriname;BOX(-58.0676912029999 1.83350677500007,-53.9863574539999 6.01157376600013)
199;SVK;Slovakia;BOX(16.8444804280001 47.7500064090001,22.5396366780001 49.601779684)
200;SVN;Slovenia;BOX(13.3652612710001 45.42363678,16.5153015540001 46.863962301)
201;SWE;Sweden;BOX(11.1081649100001 55.3426781270001,24.1634135340001 69.0363556930001)
202;SWZ;Swaziland;BOX(30.7829061280001 -27.3162643429999,32.1173983160001 -25.735999044)
203;SXM;Sint Maarten;BOX(-63.1188858709999 18.019110419,-63.0175685850526 18.0621092720001)
204;SYC;Seychelles;BOX(46.2073673840002 -9.75554778399989,56.2874455090002 -3.79111093499991)
205;SYR;Syria;BOX(35.7233992850002 32.313041687,42.377185506 37.3249063110001)
206;TCA;Turks and Caicos Islands;BOX(-72.481312629 21.2901065120001,-71.1288956369999 21.9592145850001)
207;TCD;Chad;BOX(13.4491837970001 7.45556671100012,23.9844063720001 23.4447199510001)
208;TGO;Togo;BOX(-0.16610917099996 6.100490848287,1.78235070800014 11.1349803670001)
209;THA;Thailand;BOX(97.3514010010001 5.62989003500013,105.650997762 20.4450064090001)
210;TJK;Tajikistan;BOX(67.3426900630002 36.6786408490002,75.1641247970001 41.0399767050001)
211;TKM;Turkmenistan;BOX(52.4376706173443 35.140646871,66.6457816980001 42.791187643)
212;TLS;Timor-Leste;BOX(124.03003991 -9.5012277219999,127.313243035 -8.13502369599983)
213;TON;Tonga;BOX(-176.219309049 -22.3387997379999,-173.914255338 -15.5595028629999)
214;TTO;Trinidad and Tobago;BOX(-61.9287003249999 10.0420596370002,-60.5220841139999 11.3510602890001)
215;TUN;Tunisia;BOX(7.4798323980001 30.2289053350001,11.5641309000001 37.3452009140002)
216;TUR;Turkey;BOX(25.663259311 35.819778545,44.8069928290001 42.0987816430001)
217;TUV;Tuvalu;BOX(176.125254754 -9.42066822699981,179.906748894 -5.67750416499986)
218;TWN;Taiwan;BOX(118.279551629 21.9046084660001,122.005381707 25.287420966)
219;TZA;Tanzania;BOX(29.3210315350001 -11.7312724819999,40.4493921230001 -0.985830179999823)
220;UGA;Uganda;BOX(29.5484595130001 -1.47520599399984,35.0064726150001 4.21969187500011)
221;UKR;Ukraine;BOX(22.1328398030001 44.381048895,40.1595430910002 52.3689492800001)
222;UMI;United States Minor Outlying Islands;BOX(-177.389597134 -0.388767184999892,166.652354363 28.2153181010001)
223;URY;Uruguay;BOX(-58.4393611319999 -34.9734026019999,-53.1108361419999 -30.0968698119999)
224;USA;United States;BOX(-179.143503384 18.9061171430001,179.780935092 71.4125023460001)
225;UZB;Uzbekistan;BOX(55.9758386630001 37.1851474,73.1486405840002 45.5587189740001)
226;VAT;Vatican;BOX(12.4527140820001 41.9027519410001,12.4540354420001 41.9039147380001)
227;VCT;Saint Vincent and the Grenadines;BOX(-61.4598282539999 12.5851504580001,-61.1239314439999 13.3807640650001)
228;VEN;Venezuela;BOX(-73.3911486409999 0.649315491000067,-59.815594849 15.7029483090001)
229;VGB;British Virgin Islands;BOX(-64.7739965489999 18.3346621770001,-64.2707413399999 18.74624258)
230;VIR;United States Virgin Islands;BOX(-65.0414934419999 17.6827660180001,-64.5593969389999 18.3865986140001)
231;VNM;Vietnam;BOX(102.118655233 8.56557851800015,109.472422722 23.3662751270001)
232;VUT;Vanuatu;BOX(166.520518425 -20.2531063779999,169.898936394 -13.0648739559998)
233;WLF;Wallis and Futuna Islands;BOX(-178.185739713 -14.3194312479999,-176.125599739 -13.208916925)
234;WSM;Samoa;BOX(-172.782582161 -14.052829685,-171.437692838 -13.4628231749999)
235;YEM;Yemen;BOX(42.5457462900001 12.1114436720001,54.5402938160002 18.9956375130001)
236;ZAF;South Africa;BOX(16.4699813160001 -46.965752863,37.9777938160001 -22.1264519249999)
237;ZMB;Zambia;BOX(21.9798775630001 -18.0692318719999,33.674202515 -8.1941240429999)
238;ZWE;Zimbabwe;BOX(25.219369751 -22.3973397829999,33.0427681890002 -15.6148080449999)
